Plate	TemplatePlate	QueryNr	RID
1	1	1	SGI00001
1	1	2	SGI00002
2	1	1	SGI00003
2	1	2	SGI00004
3	1	1	SGI00005
3	1	2	SGI00006
4	1	1	SGI00007
4	1	2	SGI00008
5	1	1	SGI00009
5	1	2	SGI00010
6	1	1	SGI00011
6	1	2	SGI00012
7	1	1	SGI00013
7	1	2	SGI00014
8	1	1	SGI00015
8	1	2	SGI00016
9	1	1	SGI00017
9	1	2	SGI00018
10	1	1	SGI00019
10	1	2	SGI00020
11	1	1	SGI00021
11	1	2	SGI00022
12	1	1	SGI00023
12	1	2	SGI00024
13	1	1	SGI00025
13	1	2	SGI00026
14	1	1	SGI00027
14	1	2	SGI00028
15	1	1	SGI00029
15	1	2	SGI00030
16	1	1	SGI00031
16	1	2	SGI00032
17	1	1	SGI00033
17	1	2	SGI00034
18	1	1	SGI00035
18	1	2	SGI00036
19	1	1	SGI00037
19	1	2	SGI00038
20	1	1	SGI00039
20	1	2	SGI00040
21	1	1	SGI00041
21	1	2	Ctrl_Fluc
22	1	1	SGI00043
22	1	2	SGI00044
23	1	1	SGI00045
23	1	2	SGI00046
24	1	1	SGI00047
24	1	2	SGI00048
25	1	1	SGI00049
25	1	2	SGI00050
26	1	1	SGI00051
26	1	2	SGI00052
27	1	1	SGI00053
27	1	2	SGI00054
28	1	1	SGI00055
28	1	2	Ctrl_Pvr_2
29	1	1	SGI00057
29	1	2	SGI00058
30	1	1	SGI00059
30	1	2	SGI00060
31	1	1	SGI00061
31	1	2	SGI00062
32	1	1	SGI00063
32	1	2	SGI00064
33	1	1	SGI00065
33	1	2	SGI00066
34	1	1	SGI00067
34	1	2	SGI00068
35	1	1	SGI00069
35	1	2	SGI00070
36	1	1	SGI00071
36	1	2	SGI00072
37	1	1	SGI00073
37	1	2	SGI00074
38	1	1	SGI00075
38	1	2	SGI00076
39	1	1	SGI00077
39	1	2	SGI00078
40	1	1	SGI00079
40	1	2	SGI00080
41	1	1	SGI00081
41	1	2	SGI00082
42	1	1	SGI00083
42	1	2	SGI00084
43	1	1	SGI00085
43	1	2	SGI00086
44	1	1	SGI00087
44	1	2	SGI00088
45	1	1	SGI00089
45	1	2	SGI00090
46	1	1	SGI00091
46	1	2	SGI00092
47	1	1	SGI00093
47	1	2	Ctrl_CSN4_1
48	1	1	SGI00095
48	1	2	SGI00096
49	1	1	SGI00097
49	1	2	SGI00098
50	1	1	SGI00099
50	1	2	SGI00100
51	1	1	SGI00101
51	1	2	SGI00102
52	1	1	SGI00103
52	1	2	SGI00104
53	1	1	SGI00105
53	1	2	SGI00106
54	1	1	SGI00107
54	1	2	SGI00108
55	1	1	SGI00109
55	1	2	SGI00110
56	1	1	SGI00111
56	1	2	SGI00112
57	1	1	SGI00113
57	1	2	SGI00114
58	1	1	SGI00115
58	1	2	SGI00116
59	1	1	SGI00117
59	1	2	SGI00118
60	1	1	SGI00119
60	1	2	SGI00120
61	1	1	SGI00121
61	1	2	SGI00122
62	1	1	SGI00123
62	1	2	SGI00124
63	1	1	SGI00125
63	1	2	SGI00126
64	1	1	SGI00127
64	1	2	SGI00128
65	1	1	SGI00129
65	1	2	SGI00130
66	1	1	SGI00131
66	1	2	SGI00132
67	1	1	SGI00133
67	1	2	SGI00134
68	1	1	SGI00135
68	1	2	SGI00136
69	1	1	SGI00137
69	1	2	Ctrl_th_2
70	1	1	SGI00139
70	1	2	SGI00140
71	1	1	SGI00141
71	1	2	SGI00142
72	1	1	SGI00143
72	1	2	SGI00144
73	1	1	SGI00145
73	1	2	SGI00146
74	1	1	SGI00147
74	1	2	SGI00148
75	1	1	SGI00149
75	1	2	SGI00150
76	1	1	SGI00151
76	1	2	Ctrl_CSN3_1
77	1	1	SGI00153
77	1	2	SGI00154
78	1	1	SGI00155
78	1	2	SGI00156
79	1	1	SGI00157
79	1	2	SGI00158
80	1	1	SGI00159
80	1	2	SGI00160
81	1	1	SGI00161
81	1	2	SGI00162
82	1	1	SGI00163
82	1	2	SGI00164
83	1	1	SGI00165
83	1	2	SGI00166
84	1	1	SGI00167
84	1	2	SGI00168
85	1	1	SGI00169
85	1	2	SGI00170
86	1	1	SGI00171
86	1	2	SGI00172
87	1	1	SGI00173
87	1	2	SGI00174
88	1	1	SGI00175
88	1	2	SGI00176
89	1	1	SGI00177
89	1	2	SGI00178
90	1	1	SGI00179
90	1	2	SGI00180
91	1	1	SGI00181
91	1	2	SGI00182
92	1	1	SGI00183
92	1	2	SGI00184
93	1	1	SGI00185
93	1	2	SGI00186
94	1	1	SGI00187
94	1	2	SGI00188
95	1	1	SGI00190
95	1	2	Ctrl_pbl_1
96	1	1	SGI00191
96	1	2	SGI00192
