TemplatePlate	Well	RID	QueryNr
1	A1	SGI00001	1
1	A2	SGI00003	1
1	A3	SGI00005	1
1	A4	SGI00007	1
1	A5	SGI00009	1
1	A6	SGI00011	1
1	A7	SGI00097	1
1	A8	SGI00099	1
1	A9	SGI00101	1
1	A10	SGI00103	1
1	A11	SGI00105	1
1	A12	SGI00107	1
1	A13	SGI00001	2
1	A14	SGI00003	2
1	A15	SGI00005	2
1	A16	SGI00007	2
1	A17	SGI00009	2
1	A18	SGI00011	2
1	A19	SGI00097	2
1	A20	SGI00099	2
1	A21	SGI00101	2
1	A22	SGI00103	2
1	A23	SGI00105	2
1	A24	SGI00107	2
1	B1	SGI00013	1
1	B2	SGI00015	1
1	B3	SGI00017	1
1	B4	SGI00019	1
1	B5	SGI00021	1
1	B6	SGI00023	1
1	B7	SGI00109	1
1	B8	SGI00111	1
1	B9	SGI00113	1
1	B10	SGI00115	1
1	B11	SGI00117	1
1	B12	SGI00119	1
1	B13	SGI00013	2
1	B14	SGI00015	2
1	B15	SGI00017	2
1	B16	SGI00019	2
1	B17	SGI00021	2
1	B18	SGI00023	2
1	B19	SGI00109	2
1	B20	SGI00111	2
1	B21	SGI00113	2
1	B22	SGI00115	2
1	B23	SGI00117	2
1	B24	SGI00119	2
1	C1	SGI00025	1
1	C2	SGI00027	1
1	C3	SGI00029	1
1	C4	SGI00031	1
1	C5	SGI00033	1
1	C6	SGI00035	1
1	C7	SGI00121	1
1	C8	SGI00123	1
1	C9	SGI00125	1
1	C10	SGI00127	1
1	C11	SGI00129	1
1	C12	SGI00131	1
1	C13	SGI00025	2
1	C14	SGI00027	2
1	C15	SGI00029	2
1	C16	SGI00031	2
1	C17	SGI00033	2
1	C18	SGI00035	2
1	C19	SGI00121	2
1	C20	SGI00123	2
1	C21	SGI00125	2
1	C22	SGI00127	2
1	C23	SGI00129	2
1	C24	SGI00131	2
1	D1	SGI00037	1
1	D2	SGI00039	1
1	D3	SGI00041	1
1	D4	SGI00043	1
1	D5	SGI00045	1
1	D6	SGI00047	1
1	D7	SGI00133	1
1	D8	SGI00135	1
1	D9	SGI00137	1
1	D10	SGI00139	1
1	D11	SGI00141	1
1	D12	SGI00143	1
1	D13	SGI00037	2
1	D14	SGI00039	2
1	D15	SGI00041	2
1	D16	SGI00043	2
1	D17	SGI00045	2
1	D18	SGI00047	2
1	D19	SGI00133	2
1	D20	SGI00135	2
1	D21	SGI00137	2
1	D22	SGI00139	2
1	D23	SGI00141	2
1	D24	SGI00143	2
1	E1	SGI00049	1
1	E2	SGI00051	1
1	E3	SGI00053	1
1	E4	SGI00055	1
1	E5	SGI00057	1
1	E6	SGI00059	1
1	E7	SGI00145	1
1	E8	SGI00147	1
1	E9	SGI00149	1
1	E10	SGI00151	1
1	E11	SGI00153	1
1	E12	SGI00155	1
1	E13	SGI00049	2
1	E14	SGI00051	2
1	E15	SGI00053	2
1	E16	SGI00055	2
1	E17	SGI00057	2
1	E18	SGI00059	2
1	E19	SGI00145	2
1	E20	SGI00147	2
1	E21	SGI00149	2
1	E22	SGI00151	2
1	E23	SGI00153	2
1	E24	SGI00155	2
1	F1	SGI00061	1
1	F2	SGI00063	1
1	F3	SGI00065	1
1	F4	SGI00067	1
1	F5	SGI00069	1
1	F6	SGI00071	1
1	F7	SGI00157	1
1	F8	SGI00159	1
1	F9	SGI00161	1
1	F10	SGI00163	1
1	F11	SGI00165	1
1	F12	SGI00167	1
1	F13	SGI00061	2
1	F14	SGI00063	2
1	F15	SGI00065	2
1	F16	SGI00067	2
1	F17	SGI00069	2
1	F18	SGI00071	2
1	F19	SGI00157	2
1	F20	SGI00159	2
1	F21	SGI00161	2
1	F22	SGI00163	2
1	F23	SGI00165	2
1	F24	SGI00167	2
1	G1	SGI00073	1
1	G2	SGI00075	1
1	G3	SGI00077	1
1	G4	SGI00079	1
1	G5	SGI00081	1
1	G6	SGI00083	1
