gene1	gene2	correlation	genetic	human
aop	bsk	1	1	0
aop	csw	1	1	0
aop	Jra	1	1	0
aop	Sos	1	1	0
aop	phl	1	1	0
aop	pnt	1	1	0
aop	Ras85D	1	1	0
aop	drk	1	0	1
aop	Dsor1	1	1	0
aop	slpr	1	1	0
aop	stg	1	1	0
aop	rl	1	1	0
bsk	aop	1	1	0
bsk	Jra	1	1	1
bsk	kay	1	1	0
bsk	Ras85D	1	0	1
bsk	Src42A	1	1	0
bsk	drk	1	0	1
bsk	msn	1	1	0
bsk	Rac2	1	0	1
bsk	Mkk4	1	0	1
bsk	p38b	1	0	1
bsk	Tak1	1	1	1
bsk	slpr	1	1	0
bsk	Pvr	1	1	0
bsk	egr	1	1	0
bsk	Cka	1	1	0
bsk	puc	1	1	0
bsk	CG10089	1	0	1
bsk	Mkp3	1	0	1
csw	aop	1	1	0
csw	Sos	1	1	1
csw	phl	1	1	0
csw	pnt	1	1	0
csw	Ras85D	1	1	0
csw	Src64B	1	1	0
csw	Src42A	1	1	0
csw	drk	1	1	1
csw	Dsor1	1	1	0
csw	shark	1	0	1
csw	Mekk1	1	0	1
csw	msk	1	0	0
csw	Pvr	1	0	1
csw	rl	1	1	0
grk	Ras85D	1	1	0
Jra	aop	1	1	0
Jra	bsk	1	1	1
Jra	kay	1	1	0
Jra	phl	1	1	0
Jra	pnt	1	1	1
Jra	Ras85D	1	1	0
Jra	Btk29A	1	1	0
Jra	msn	1	1	0
Jra	shark	1	1	0
Jra	p38b	1	0	1
Jra	Tak1	1	1	0
Jra	slpr	1	1	0
Jra	egr	1	1	0
Jra	Cka	1	1	0
Jra	puc	1	1	0
Jra	rl	1	1	0
kay	bsk	1	1	0
kay	Jra	1	1	0
kay	slpr	1	1	0
kay	Pvr	1	1	0
kay	Cka	1	1	0
kay	puc	1	1	0
kay	rl	1	1	0
Sos	aop	1	1	0
Sos	csw	1	1	1
Sos	phl	1	1	1
Sos	Ras85D	1	1	1
Sos	Src42A	1	1	0
Sos	drk	1	0	1
Sos	Dsor1	1	1	0
Sos	Rac2	1	0	1
Sos	Rho1	1	1	0
Sos	shark	1	0	1
Sos	Krn	1	1	0
Sos	CG3573	1	0	1
phl	aop	1	1	0
phl	csw	1	1	0
phl	Jra	1	1	0
phl	Sos	1	1	1
phl	pnt	1	1	0
phl	Ras85D	1	1	1
phl	Src64B	1	1	0
phl	Src42A	1	1	0
phl	drk	1	0	1
phl	Dsor1	1	1	1
phl	Pak	1	0	1
phl	PTP-ER	1	1	0
phl	Gef26	1	1	0
phl	twe	1	0	1
phl	Pp1alpha-96A	1	0	1
phl	stg	1	0	1
phl	mts	1	1	0
phl	rl	1	1	0
phl	alph	1	1	0
pnt	aop	1	1	0
pnt	csw	1	1	0
pnt	Jra	1	1	1
pnt	phl	1	1	0
pnt	Ras85D	1	1	0
pnt	Dsor1	1	1	0
pnt	stg	1	1	0
pnt	rl	1	0	0
pyd	Pez	1	0	1
